"Time","spgwu2","spgwu"
2022-07-25 23:07:45,236,190
2022-07-25 23:08:00,192,228
2022-07-25 23:08:15,192,228
2022-07-25 23:08:30,208,195
2022-07-25 23:08:45,208,195
2022-07-25 23:09:00,161,215
2022-07-25 23:09:15,161,215
2022-07-25 23:09:30,197,175
2022-07-25 23:09:45,197,175
2022-07-25 23:10:00,165,80.8
2022-07-25 23:10:15,165,80.8
2022-07-25 23:10:30,163,149
2022-07-25 23:10:45,163,149
2022-07-25 23:11:00,118,184
2022-07-25 23:11:15,119,184
2022-07-25 23:11:30,145,110
2022-07-25 23:11:45,145,110
2022-07-25 23:12:00,132,155
2022-07-25 23:12:15,132,155
2022-07-25 23:12:30,102,94.2
2022-07-25 23:12:45,103,94.2
2022-07-25 23:13:00,125,128
2022-07-25 23:13:15,125,128
2022-07-25 23:13:30,90.4,93.4
2022-07-25 23:13:45,90.4,93.4
2022-07-25 23:14:00,59.1,99.8
2022-07-25 23:14:15,59.1,99.8
2022-07-25 23:14:30,123,93.3
2022-07-25 23:14:45,123,93.3
2022-07-25 23:15:00,82.9,83.5
2022-07-25 23:15:15,82.9,83.5
2022-07-25 23:15:30,86.5,75.8
2022-07-25 23:15:45,86.5,75.8
2022-07-25 23:16:00,79.7,86.7
2022-07-25 23:16:15,79.7,86.7
2022-07-25 23:16:30,104,98.2
2022-07-25 23:16:45,104,98.2
2022-07-25 23:17:00,103,119
2022-07-25 23:17:15,103,119
2022-07-25 23:17:30,134,125
2022-07-25 23:17:45,134,125
2022-07-25 23:18:00,80.3,133
2022-07-25 23:18:15,80.3,133
2022-07-25 23:18:30,172,185
2022-07-25 23:18:45,172,185
2022-07-25 23:19:00,243,156
2022-07-25 23:19:15,243,156
2022-07-25 23:19:30,206,153
2022-07-25 23:19:45,206,153
2022-07-25 23:20:00,216,256
2022-07-25 23:20:15,216,256
2022-07-25 23:20:30,216,300
2022-07-25 23:20:45,216,300
2022-07-25 23:21:00,195,196
2022-07-25 23:21:15,195,196
2022-07-25 23:21:30,292,207
2022-07-25 23:21:45,292,207
2022-07-25 23:22:00,246,270
2022-07-25 23:22:15,246,270
2022-07-25 23:22:30,239,279
2022-07-25 23:22:45,239,279
2022-07-25 23:23:00,200,253
2022-07-25 23:23:15,200,253
2022-07-25 23:23:30,296,263
2022-07-25 23:23:45,296,263
2022-07-25 23:24:00,225,283
2022-07-25 23:24:15,225,283
2022-07-25 23:24:30,374,222
2022-07-25 23:24:45,374,222
2022-07-25 23:25:00,150,324
2022-07-25 23:25:15,150,324
2022-07-25 23:25:30,330,209
2022-07-25 23:25:45,330,209
2022-07-25 23:26:00,158,235
2022-07-25 23:26:15,158,235
2022-07-25 23:26:30,305,222
2022-07-25 23:26:45,305,222
2022-07-25 23:27:00,296,238
2022-07-25 23:27:15,296,238
2022-07-25 23:27:30,251,248
2022-07-25 23:27:45,251,248
2022-07-25 23:28:00,125,278
2022-07-25 23:28:15,125,278
2022-07-25 23:28:30,292,275
2022-07-25 23:28:45,292,275
2022-07-25 23:29:00,261,282
2022-07-25 23:29:15,261,282
2022-07-25 23:29:30,370,280
2022-07-25 23:29:45,370,280
2022-07-25 23:30:00,211,199
2022-07-25 23:30:15,211,199
2022-07-25 23:30:30,255,205
2022-07-25 23:30:45,255,205
2022-07-25 23:31:00,120,228
2022-07-25 23:31:15,121,228
2022-07-25 23:31:30,222,182
2022-07-25 23:31:45,222,182
2022-07-25 23:32:00,246,230
2022-07-25 23:32:15,246,230
2022-07-25 23:32:30,206,146
2022-07-25 23:32:45,206,146
2022-07-25 23:33:00,123,208
2022-07-25 23:33:15,123,208
2022-07-25 23:33:30,234,226
2022-07-25 23:33:45,234,226
2022-07-25 23:34:00,150,168
2022-07-25 23:34:15,150,168
2022-07-25 23:34:30,153,167
2022-07-25 23:34:45,153,167
2022-07-25 23:35:00,165,148
2022-07-25 23:35:15,165,148
2022-07-25 23:35:30,119,101
2022-07-25 23:35:45,119,101
2022-07-25 23:36:00,111,125
2022-07-25 23:36:15,111,125
2022-07-25 23:36:30,150,99.4
2022-07-25 23:36:45,150,99.4
2022-07-25 23:37:00,56.2,116
2022-07-25 23:37:15,56.2,116
2022-07-25 23:37:30,88.6,57.1
2022-07-25 23:37:45,88.6,57.1
2022-07-25 23:38:00,74.8,116
2022-07-25 23:38:15,74.8,117
2022-07-25 23:38:30,89.5,53.4
2022-07-25 23:38:45,89.5,53.4
2022-07-25 23:39:00,117,86.0
2022-07-25 23:39:15,117,86
2022-07-25 23:39:30,78.5,102
2022-07-25 23:39:45,78.5,102
2022-07-25 23:40:00,71.8,42.5
2022-07-25 23:40:15,71.8,42.5
2022-07-25 23:40:30,72.4,95.0
2022-07-25 23:40:45,72.4,95
2022-07-25 23:41:00,97.3,111
2022-07-25 23:41:15,97.3,111
2022-07-25 23:41:30,76.8,43.3
2022-07-25 23:41:45,76.8,43.3
2022-07-25 23:42:00,123,200
2022-07-25 23:42:15,123,200
2022-07-25 23:42:30,130,117
2022-07-25 23:42:45,130,117
2022-07-25 23:43:00,206,214
2022-07-25 23:43:15,206,214
2022-07-25 23:43:30,192,80.2
2022-07-25 23:43:45,192,80.2
2022-07-25 23:44:00,229,250
2022-07-25 23:44:15,229,250
2022-07-25 23:44:30,132,208
2022-07-25 23:44:45,132,208
2022-07-25 23:45:00,347,323
2022-07-25 23:45:15,347,323
2022-07-25 23:45:30,196,151
2022-07-25 23:45:45,196,151
2022-07-25 23:46:00,279,231
2022-07-25 23:46:15,279,231
2022-07-25 23:46:30,208,284
2022-07-25 23:46:45,208,285
2022-07-25 23:47:00,149,196
2022-07-25 23:47:15,149,196
2022-07-25 23:47:30,240,266
2022-07-25 23:47:45,240,266
2022-07-25 23:48:00,297,294
2022-07-25 23:48:15,297,294
2022-07-25 23:48:30,295,222
2022-07-25 23:48:45,296,222
2022-07-25 23:49:00,265,297
2022-07-25 23:49:15,265,297
2022-07-25 23:49:30,349,299
2022-07-25 23:49:45,349,299
2022-07-25 23:50:00,230,333
2022-07-25 23:50:15,230,333
2022-07-25 23:50:30,327,178
2022-07-25 23:50:45,327,178
2022-07-25 23:51:00,239,359
2022-07-25 23:51:15,239,359
2022-07-25 23:51:30,244,271
2022-07-25 23:51:45,244,272
2022-07-25 23:52:00,300,170
2022-07-25 23:52:15,300,170
2022-07-25 23:52:30,180,319
2022-07-25 23:52:45,180,319
2022-07-25 23:53:00,373,219
2022-07-25 23:53:15,373,219
2022-07-25 23:53:30,136,241
2022-07-25 23:53:45,136,241
2022-07-25 23:54:00,305,211
2022-07-25 23:54:15,305,211
2022-07-25 23:54:30,151,256
2022-07-25 23:54:45,151,256
2022-07-25 23:55:00,223,201
2022-07-25 23:55:15,223,201
2022-07-25 23:55:30,235,254
2022-07-25 23:55:45,235,254
2022-07-25 23:56:00,242,192
2022-07-25 23:56:15,242,192
2022-07-25 23:56:30,187,162
2022-07-25 23:56:45,187,162
2022-07-25 23:57:00,208,231
2022-07-25 23:57:15,208,231
2022-07-25 23:57:30,118,180
2022-07-25 23:57:45,118,180
2022-07-25 23:58:00,218,199
2022-07-25 23:58:15,218,199
2022-07-25 23:58:30,132,178
2022-07-25 23:58:45,132,178
2022-07-25 23:59:00,148,73.7
2022-07-25 23:59:15,148,73.7
2022-07-25 23:59:30,0.333,0.633
2022-07-25 23:59:45,0.333,0.633
2022-07-26 00:00:00,0.600,0.500
2022-07-26 00:00:15,0.600,0.500
2022-07-26 00:00:30,0.567,0.500
2022-07-26 00:00:45,0.567,0.500
2022-07-26 00:01:00,0.567,0.500
2022-07-26 00:01:15,0.567,0.500
2022-07-26 00:01:30,0.533,0.633
2022-07-26 00:01:45,0.533,0.633
2022-07-26 00:02:00,0.333,0.633
2022-07-26 00:02:15,0.333,0.633
2022-07-26 00:02:30,0.833,0.467
2022-07-26 00:02:45,0.833,0.467
2022-07-26 00:03:00,0.400,0.700
2022-07-26 00:03:15,0.400,0.700
2022-07-26 00:03:30,0.600,0.433
2022-07-26 00:03:45,0.600,0.433
2022-07-26 00:04:00,0.567,0.600
2022-07-26 00:04:15,0.567,0.600
2022-07-26 00:04:30,0.567,0.567
2022-07-26 00:04:45,0.567,0.567
2022-07-26 00:05:00,0.433,0.567
2022-07-26 00:05:15,0.433,0.567
2022-07-26 00:05:30,0.500,0.333
2022-07-26 00:05:45,0.500,0.333
2022-07-26 00:06:00,0.567,0.500
2022-07-26 00:06:15,0.567,0.500
2022-07-26 00:06:30,0.600,0.633
2022-07-26 00:06:45,0.600,0.633
2022-07-26 00:07:00,0.633,0.667
2022-07-26 00:07:15,0.633,0.667
2022-07-26 00:07:30,0.367,0.567
2022-07-26 00:07:45,0.367,0.567

