"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod339c179a-11e8-4db8-a2c4-d436c9660c02/c50bfa066e752765c5a93e2f3995b99bbfdb6b09425ac0293f686d402c64dc9d"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-xsm8m_oai_339c179a-11e8-4db8-a2c4-d436c9660c02_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-xsm8m"", service=""kubelet""}"
2022-07-23 22:37:15,161
2022-07-23 22:37:30,120
2022-07-23 22:37:45,120
2022-07-23 22:38:00,110
2022-07-23 22:38:15,110
2022-07-23 22:38:30,106
2022-07-23 22:38:45,106
2022-07-23 22:39:00,99.0
2022-07-23 22:39:15,99.0
2022-07-23 22:39:30,112
2022-07-23 22:39:45,112
2022-07-23 22:40:00,110
2022-07-23 22:40:15,110
2022-07-23 22:40:30,100
2022-07-23 22:40:45,100
2022-07-23 22:41:00,70.3
2022-07-23 22:41:15,70.3
2022-07-23 22:41:30,120
2022-07-23 22:41:45,120
2022-07-23 22:42:00,96.0
2022-07-23 22:42:15,96
2022-07-23 22:42:30,71.8
2022-07-23 22:42:45,71.8
2022-07-23 22:43:00,56.0
2022-07-23 22:43:15,56.0
2022-07-23 22:43:30,77.3
2022-07-23 22:43:45,77.3
2022-07-23 22:44:00,59.5
2022-07-23 22:44:15,59.5
2022-07-23 22:44:30,47.9
2022-07-23 22:44:45,47.9
2022-07-23 22:45:00,24.5
2022-07-23 22:45:15,24.5
2022-07-23 22:45:30,50.0
2022-07-23 22:45:45,50
2022-07-23 22:46:00,34.8
2022-07-23 22:46:15,34.8
2022-07-23 22:46:30,59.7
2022-07-23 22:46:45,59.7
2022-07-23 22:47:00,40.9
2022-07-23 22:47:15,40.9
2022-07-23 22:47:30,44.0
2022-07-23 22:47:45,44
2022-07-23 22:48:00,35.2
2022-07-23 22:48:15,35.2
2022-07-23 22:48:30,43.1
2022-07-23 22:48:45,43.1
2022-07-23 22:49:00,42.2
2022-07-23 22:49:15,42.2
2022-07-23 22:49:30,48.3
2022-07-23 22:49:45,48.3
2022-07-23 22:50:00,67.7
2022-07-23 22:50:15,67.7
2022-07-23 22:50:30,81.6
2022-07-23 22:50:45,81.6
2022-07-23 22:51:00,88.3
2022-07-23 22:51:15,88.3
2022-07-23 22:51:30,91.5
2022-07-23 22:51:45,91.5
2022-07-23 22:52:00,117
2022-07-23 22:52:15,117
2022-07-23 22:52:30,90.6
2022-07-23 22:52:45,90.6
2022-07-23 22:53:00,121
2022-07-23 22:53:15,121
2022-07-23 22:53:30,107
2022-07-23 22:53:45,107
2022-07-23 22:54:00,160
2022-07-23 22:54:15,160
2022-07-23 22:54:30,103
2022-07-23 22:54:45,103
2022-07-23 22:55:00,102
2022-07-23 22:55:15,102
2022-07-23 22:55:30,154
2022-07-23 22:55:45,154
2022-07-23 22:56:00,140
2022-07-23 22:56:15,140
2022-07-23 22:56:30,151
2022-07-23 22:56:45,151
2022-07-23 22:57:00,83.1
2022-07-23 22:57:15,83.1
2022-07-23 22:57:30,131
2022-07-23 22:57:45,131
2022-07-23 22:58:00,175
2022-07-23 22:58:15,175
2022-07-23 22:58:30,156
2022-07-23 22:58:45,156
2022-07-23 22:59:00,115
2022-07-23 22:59:15,115
2022-07-23 22:59:30,151
2022-07-23 22:59:45,151
2022-07-23 23:00:00,135
2022-07-23 23:00:15,136
2022-07-23 23:00:30,103
2022-07-23 23:00:45,103
2022-07-23 23:01:00,133
2022-07-23 23:01:15,133
2022-07-23 23:01:30,92.4
2022-07-23 23:01:45,92.4
2022-07-23 23:02:00,106
2022-07-23 23:02:15,106
2022-07-23 23:02:30,157
2022-07-23 23:02:45,157
2022-07-23 23:03:00,97.5
2022-07-23 23:03:15,97.5
2022-07-23 23:03:30,115
2022-07-23 23:03:45,115
2022-07-23 23:04:00,112
2022-07-23 23:04:15,112
2022-07-23 23:04:30,88.6
2022-07-23 23:04:45,88.6
2022-07-23 23:05:00,84.5
2022-07-23 23:05:15,84.5
2022-07-23 23:05:30,93.9
2022-07-23 23:05:45,93.9
2022-07-23 23:06:00,95.4
2022-07-23 23:06:15,95.4
2022-07-23 23:06:30,87.0
2022-07-23 23:06:45,87.0
2022-07-23 23:07:00,23.8
2022-07-23 23:07:15,23.8
2022-07-23 23:07:30,0.500
2022-07-23 23:07:45,0.500
2022-07-23 23:08:00,0.333

